Date,Name,Latitude,Longitude,Altitude (m),Notes
2023-07-10 13:47:46.35,GM Trail Mature ,49.57549159419715,-57.8472195100578,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 4 m"
2023-07-10 14:21:59.24,GM Trail Gap,49.57502405163823,-57.8466393985393,0,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 6 m"
2023-07-10 15:28:23.20,Electric Mature ,49.61330680181236,-57.91938987565964,0,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 4 m"
2023-07-10 15:55:48.30,Electric Gap,49.61341652092518,-57.91860147384733,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 4 m"
2023-07-11 09:22:56.24,Berry Pond Gap,49.62218684148939,-57.9126428627017,0,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 3 m"
2023-07-11 11:40:55.94,Berry Baby Gap,49.62449953430297,-57.91879635309606,0,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 3 m"
2023-07-11 12:21:37.23,Jul 11, 2023 at 1:51 PM,49.62399474682979,-57.9183797113714,0,"Horizontal Accuracy: ± 0 m
Vertical Accuracy: ± -1 m"
2023-07-11 12:21:42.22,Baby Berry Mature,49.6248500235844,-57.91792379697591,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 4 m"
2023-07-11 13:01:14.35,Berry Hill Gap,49.61945505351756,-57.92276359168619,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 4 m"
2023-07-11 13:44:50.13,Berry Hill Mature,49.61897321981342,-57.92180143302113,0,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 3 m"
2023-07-11 15:13:30.94,Berry Trail Gap,49.63005635892006,-57.92186572221846,0,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 3 m"
2023-07-11 15:53:48.67,Jul 11, 2023 at 5:23 PM,49.62857678537222,-57.92532032361061,91.31614017486572,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 3 m"
2023-07-11 15:54:03.17,Berry Trail Mature,49.62852464993481,-57.92534220037788,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 4 m"
2023-07-12 09:45:00.62,Southeast Brook Exclosure,49.46293022022532,-57.67408409161276,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 6 m"
2023-07-12 10:10:35.32,Southeast Brook Timber ,49.46358250782362,-57.67360479083102,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 3 m"
2023-07-12 10:31:11.37,Southeast Brook Mature,49.46356887933748,-57.67462195833928,0,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 4 m"
2023-07-12 12:32:21.75,Mill Brook Exclosure,49.5039169304537,-57.78067910117822,81.71215075440705,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 6 m"
2023-07-12 13:01:10.59,Mill Brook Mature,49.50457935226135,-57.77971828361767,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 4 m"
2023-07-12 13:31:32.74,Mill Brook Gap (old Timber?),49.50513968248836,-57.77874254626946,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 4 m"
2023-07-12 13:31:58.76,Mill Brook Mature,49.50508249930721,-57.77865071103206,0,"Horizontal Accuracy: ± 0 m
Vertical Accuracy: ± -1 m"
2023-07-12 14:45:26.70,Norris Point Exclosure,49.56389724281606,-57.86525703040684,0,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 4 m"
2023-07-12 15:02:37.37,Norris Point Mature,49.56348020122346,-57.86605976527358,0,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 6 m"
2023-07-12 15:45:52.16,Norris Point Timber,49.56263191071329,-57.86561141727294,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 4 m"
2023-07-13 13:39:50.74,Berry Pond Mature,49.6219012256583,-57.91168838491065,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 3 m"
